facility_type,site_eui_mean,site_eui_std,source_eui_mean,source_eui_std,electric_eui_mean,electric_eui_std,fuel_eui_mean,fuel_eui_std,ghg_emissions_int_mean,ghg_emissions_int_std,count
Multifamily - Uncategorized,84.86,35.82,129.16,50.48,19.25,11.25,65.03,33.61,5.55,2.55,89124
Office - Uncategorized,77.69,42.43,175.52,99.7,44.31,28.77,36.5,27.57,6.17,3.54,16314
Education - Other classroom,71.32,32.62,136.35,69.92,29.53,20.22,41.78,24.68,5.21,2.9,4343
Lodging - Hotel,104.54,51.63,213.22,98.39,48.63,24.7,56.2,38.07,7.84,3.85,2477
Warehouse - Non-refrigerated,51.88,45.16,96.1,94.31,20.16,25.86,31.43,31.4,3.5,3.41,2225
Industrial,96.42,133.39,202.04,302.49,47.94,84.26,46.02,79.45,7.22,10.39,1831
Retail - Uncategorized,82.87,62.22,196.97,143.95,52.24,41.61,30.35,36.09,6.61,4.95,1257
Nursing Home,132.49,67.0,243.54,103.8,49.14,23.33,76.53,54.45,9.32,4.49,1193
Public Safety - Fire or police station,135.07,46.7,260.07,88.6,56.28,22.52,77.63,33.65,9.64,3.47,1173
Mixed Use - Commercial and Residential,100.9,76.1,214.05,151.21,52.35,42.92,48.63,54.08,7.82,5.86,1067
Education - College or university,96.15,82.41,197.8,147.73,45.49,34.18,46.94,63.54,7.33,5.82,1020
Education - Preschool or daycare,63.54,40.4,147.55,78.92,38.47,21.39,24.1,30.88,4.93,3.08,991
Warehouse - Self-storage,25.97,24.63,51.69,42.53,11.72,9.83,14.54,19.22,1.75,1.61,974
Religious worship,65.54,52.51,115.54,104.94,21.62,25.84,39.7,32.87,4.5,4.07,946
Lodging - Dormitory or fraternity/sorority,80.19,62.02,133.93,91.85,23.4,16.77,54.72,53.38,5.43,4.57,919
Public Assembly - Library,95.35,51.31,197.9,85.1,46.9,20.05,50.63,41.96,6.92,3.42,814
Service - Vehicle service/repair shop,141.08,109.04,222.35,200.6,35.24,54.45,105.31,93.81,9.39,7.21,784
Commercial - Other,124.04,80.07,243.06,178.44,53.01,50.98,69.36,53.09,9.03,6.31,782
Office - Medical non diagnostic,111.97,67.91,248.56,156.47,62.84,45.7,44.96,38.42,8.74,5.64,756
Parking Garage,39.7,78.77,102.81,226.75,28.64,69.81,8.34,20.96,3.23,6.77,727
Warehouse - Distribution or Shipping center,53.71,49.77,95.68,88.15,19.18,19.42,36.2,35.3,3.61,3.75,651
Lodging - Other,104.54,56.57,185.9,93.76,36.44,24.7,67.47,50.34,7.28,4.25,571
Health Care - Inpatient,208.5,133.89,386.95,223.85,78.85,53.49,113.08,106.97,14.89,8.68,545
Retail - Strip shopping mall,119.96,87.45,274.83,176.46,70.92,44.17,49.86,54.64,9.59,6.37,392
Public Assembly - Drama theater,93.85,66.4,200.94,133.92,47.22,33.53,41.7,42.57,7.17,5.32,367
Data Center,246.4,125.53,683.43,354.51,201.96,113.85,50.02,67.21,22.63,10.9,364
Office - Bank or other financial,101.15,53.94,236.88,117.21,60.77,32.12,40.78,36.04,8.12,3.96,352
Public Assembly - Other,123.47,110.92,260.56,273.79,61.92,82.74,58.52,71.18,9.2,8.63,309
Grocery store or food market,207.27,90.73,500.74,226.39,134.67,68.07,71.25,52.24,16.9,7.55,306
Health Care - Outpatient Clinic,139.72,76.16,281.61,174.07,62.52,48.94,73.9,50.37,10.26,6.41,283
